archivo,Accuracy,F1 Score,Precision,Recall
modelo_cnn_100x,0.7638190954773869,0.7670332679493761,0.7721718962706509,0.7638190954773869
modelo_cnn_200x,0.8140703517587939,0.8073935297859798,0.8089597648104468,0.8140703517587939
modelo_cnn_400x,0.8140703517587939,0.8000994404298052,0.8149964566421852,0.8140703517587939
modelo_cnn_40x,0.8140703517587939,0.8000994404298052,0.8149964566421852,0.8140703517587939
modelo_cnn_all,0.8241206030150754,0.809266426045976,0.830408297744981,0.8241206030150754
modelo_cnn_aug_100x,0.821256038647343,0.8200388479347408,0.8192023832383531,0.821256038647343
modelo_cnn_aug_200x,0.8208955223880597,0.8200671117480512,0.8194170989026499,0.8208955223880597
modelo_cnn_aug_400x,0.825414364640884,0.8065598111208466,0.8466620321246935,0.825414364640884
modelo_cnn_aug_40x,0.8,0.7827229848473146,0.800512799806186,0.8
modelo_cnn_aug_all,0.7941624365482234,0.7774394973709295,0.7920889578462622,0.7941624365482234
modelo_knn_100x,0.8985507246376812,0.9292929292929292,0.8961038961038961,0.965034965034965
modelo_knn_200x,0.8805970149253731,0.9124087591240876,0.925925925925926,0.8992805755395683
modelo_knn_400x,0.8950276243093923,0.923694779116466,0.9126984126984128,0.934959349593496
modelo_knn_40x,0.9045226130653268,0.9304029304029304,0.9338235294117648,0.927007299270073
modelo_knn_all,0.901015228426396,0.9293478260869564,0.912811387900356,0.9464944649446494
modelo_knn_aug_100x,0.5004830917874397,0.5136406396989652,0.7844827586206896,0.3818181818181818
modelo_knn_aug_200x,0.7223880597014926,0.8314199395770393,0.7166666666666667,0.9899280575539569
modelo_knn_aug_400x,0.3823204419889502,0.2115655853314527,0.7978723404255319,0.1219512195121951
modelo_knn_aug_40x,0.6944723618090453,0.8137254901960784,0.7011615628299894,0.9693430656934306
modelo_knn_aug_all,0.4180203045685279,0.30996087872404454,0.8401305057096248,0.1900369003690037
